name,osm_name
AMEX Stadium,American Express Community Stadium
Anfield,Anfield
Baku Olympic Stadium,
bet365 Stadium,bet365 Stadium
Bramall Lane,Bramall Lane
Cardiff City Stadium,Cardiff City Stadium
Carrow Road,Carrow Road
Civitas Metropolitano,
Craven Cottage,Craven Cottage
Elland Road,Elland Road Stadium
Emirates Stadium,Emirates Stadium
Estádio do Dragão,
Etihad Stadium,Etihad Stadium
Goodison Park,Goodison Park
John Smith's Stadium,John Smith's Stadium
King Power Stadium,King Power Stadium
London Stadium,London Stadium
MKM Stadium,MKM Stadium
Molineux Stadium,Molineux Stadium
Old Trafford,Old Trafford
Riverside Stadium,Riverside Stadium
Selhurst Park,Selhurst Park
St James' Park,St. James' Park
St Mary's Stadium,St. Mary's Stadium
Stadium mk,Stadium MK
Stadium of Light,Stadium of Light
Stamford Bridge,Stamford Bridge
Swansea.com Stadium,Swansea.com Stadium
The Hawthorns,The Hawthorns
Tottenham Hotspur Stadium,Tottenham Hotspur Stadium
Turf Moor,Turf Moor
Vicarage Road,Vicarage Road Stadium
Villa Park,Villa Park
Vitality Stadium,Vitality Stadium
Vodafone Park,
Wembley Stadium,Wembley Stadium
