association,season,name,capacity,seats,x,y
3299,2015,Wembley Stadium,90000,90000.0,-0.2795188,51.5560208
631,2015,Stamford Bridge,40853,40853.0,-0.1909565,51.481663
281,2015,Etihad Stadium,55017,55017.0,-2.2003953,53.4831381
984,2015,The Hawthorns,26850,26850.0,-1.963938,52.509038
29,2015,Goodison Park,39571,39571.0,-2.9663193,53.438787
379,2015,London Stadium,62500,2011.0,-0.0166037,51.5387095
512,2015,bet365 Stadium,30089,30089.0,-2.17541,52.98842
148,2015,Tottenham Hotspur Stadium,62062,,-0.067045,51.604652
1003,2015,King Power Stadium,32273,32273.0,-1.14219,52.62037
985,2015,Old Trafford,74879,74879.0,-2.2913401,53.4630589
873,2015,Selhurst Park,26047,26047.0,-0.08543,51.3983
11,2015,Emirates Stadium,60704,60704.0,-0.108438,51.5548885
1010,2015,Vicarage Road,21577,21577.0,-0.4016876,51.6499828
180,2015,St Mary's Stadium,32384,32384.0,-1.390954,50.9058218
1123,2015,Carrow Road,27244,27244.0,1.3091533,52.6221139
405,2015,Villa Park,42682,,-1.8847828,52.5091117
2288,2015,Swansea.com Stadium,21088,21088.0,-3.9345855,51.6427499
989,2015,Vitality Stadium,11329,11329.0,-1.8382791,50.7352306
289,2015,Stadium of Light,48707,48707.0,-1.388371,54.914561
31,2015,Anfield,54074,54074.0,-2.96083,53.4308294
631,2016,Stamford Bridge,40853,40853.0,-0.1909565,51.481663
1010,2016,Vicarage Road,21577,21577.0,-0.4016876,51.6499828
2288,2016,Swansea.com Stadium,21088,21088.0,-3.9345855,51.6427499
1003,2016,King Power Stadium,32273,32273.0,-1.14219,52.62037
11,2016,Emirates Stadium,60704,60704.0,-0.108438,51.5548885
379,2016,London Stadium,62500,2011.0,-0.0166037,51.5387095
180,2016,St Mary's Stadium,32384,32384.0,-1.390954,50.9058218
641,2016,Riverside Stadium,33746,-1.0,-1.21686,54.57824
281,2016,Etihad Stadium,55017,55017.0,-2.2003953,53.4831381
289,2016,Stadium of Light,48707,48707.0,-1.388371,54.914561
873,2016,Selhurst Park,26047,26047.0,-0.08543,51.3983
148,2016,Tottenham Hotspur Stadium,62062,,-0.067045,51.604652
31,2016,Anfield,54074,54074.0,-2.96083,53.4308294
1132,2016,Turf Moor,21994,21994.0,-2.2301736,53.7890244
543,2016,Molineux Stadium,32050,32050.0,-2.1304288,52.5902362
512,2016,bet365 Stadium,30089,30089.0,-2.17541,52.98842
989,2016,Vitality Stadium,11329,11329.0,-1.8382791,50.7352306
985,2016,Old Trafford,74879,74879.0,-2.2913401,53.4630589
3299,2016,Wembley Stadium,90000,90000.0,-0.2795188,51.5560208
29,2016,Goodison Park,39571,39571.0,-2.9663193,53.438787
984,2016,The Hawthorns,26850,26850.0,-1.963938,52.509038
3299,2017,Wembley Stadium,90000,90000.0,-0.2795188,51.5560208
631,2017,Stamford Bridge,40853,40853.0,-0.1909565,51.481663
1003,2017,King Power Stadium,32273,32273.0,-1.14219,52.62037
512,2017,bet365 Stadium,30089,30089.0,-2.17541,52.98842
873,2017,Selhurst Park,26047,26047.0,-0.08543,51.3983
989,2017,Vitality Stadium,11329,11329.0,-1.8382791,50.7352306
984,2017,The Hawthorns,26850,26850.0,-1.963938,52.509038
31,2017,Anfield,54074,54074.0,-2.96083,53.4308294
379,2017,London Stadium,62500,2011.0,-0.0166037,51.5387095
1110,2017,John Smith's Stadium,24500,24500.0,-1.7682517,53.6542822
29,2017,Goodison Park,39571,39571.0,-2.9663193,53.438787
11,2017,Emirates Stadium,60704,60704.0,-0.108438,51.5548885
1123,2017,Carrow Road,27244,27244.0,1.3091533,52.6221139
1237,2017,AMEX Stadium,31800,31800.0,-0.0837163,50.8615651
1010,2017,Vicarage Road,21577,21577.0,-0.4016876,51.6499828
985,2017,Old Trafford,74879,74879.0,-2.2913401,53.4630589
281,2017,Etihad Stadium,55017,55017.0,-2.2003953,53.4831381
180,2017,St Mary's Stadium,32384,32384.0,-1.390954,50.9058218
1132,2017,Turf Moor,21994,21994.0,-2.2301736,53.7890244
2288,2017,Swansea.com Stadium,21088,21088.0,-3.9345855,51.6427499
3299,2018,Wembley Stadium,90000,90000.0,-0.2795188,51.5560208
1110,2018,John Smith's Stadium,24500,24500.0,-1.7682517,53.6542822
631,2018,Stamford Bridge,40853,40853.0,-0.1909565,51.481663
379,2018,London Stadium,62500,2011.0,-0.0166037,51.5387095
31,2018,Anfield,54074,54074.0,-2.96083,53.4308294
180,2018,St Mary's Stadium,32384,32384.0,-1.390954,50.9058218
1132,2018,Turf Moor,21994,21994.0,-2.2301736,53.7890244
543,2018,Molineux Stadium,32050,32050.0,-2.1304288,52.5902362
1237,2018,AMEX Stadium,31800,31800.0,-0.0837163,50.8615651
1010,2018,Vicarage Road,21577,21577.0,-0.4016876,51.6499828
873,2018,Selhurst Park,26047,26047.0,-0.08543,51.3983
11,2018,Emirates Stadium,60704,60704.0,-0.108438,51.5548885
989,2018,Vitality Stadium,11329,11329.0,-1.8382791,50.7352306
281,2018,Etihad Stadium,55017,55017.0,-2.2003953,53.4831381
931,2018,Craven Cottage,22384,22384.0,-0.2217799,51.4748946
29,2018,Goodison Park,39571,39571.0,-2.9663193,53.438787
603,2018,Cardiff City Stadium,33280,33280.0,-3.2030122,51.4728226
985,2018,Old Trafford,74879,74879.0,-2.2913401,53.4630589
1003,2018,King Power Stadium,32273,32273.0,-1.14219,52.62037
985,2019,Old Trafford,74879,74879.0,-2.2913401,53.4630589
114,2019,Vodafone Park,42590,42590.0,28.9941087,41.0393954
631,2019,Stamford Bridge,40853,40853.0,-0.1909565,51.481663
1123,2019,Carrow Road,27244,27244.0,1.3091533,52.6221139
543,2019,Molineux Stadium,32050,32050.0,-2.1304288,52.5902362
180,2019,St Mary's Stadium,32384,32384.0,-1.390954,50.9058218
1132,2019,Turf Moor,21994,21994.0,-2.2301736,53.7890244
1010,2019,Vicarage Road,21577,21577.0,-0.4016876,51.6499828
281,2019,Etihad Stadium,55017,55017.0,-2.2003953,53.4831381
29,2019,Goodison Park,39571,39571.0,-2.9663193,53.438787
148,2019,Tottenham Hotspur Stadium,62062,,-0.067045,51.604652
11,2019,Emirates Stadium,60704,60704.0,-0.108438,51.5548885
1237,2019,AMEX Stadium,31800,31800.0,-0.0837163,50.8615651
1003,2019,King Power Stadium,32273,32273.0,-1.14219,52.62037
989,2019,Vitality Stadium,11329,11329.0,-1.8382791,50.7352306
405,2019,Villa Park,42682,,-1.8847828,52.5091117
379,2019,London Stadium,62500,2011.0,-0.0166037,51.5387095
873,2019,Selhurst Park,26047,26047.0,-0.08543,51.3983
350,2019,Bramall Lane,32702,,-1.47083,53.37035
3299,2019,Wembley Stadium,90000,90000.0,-0.2795188,51.5560208
31,2019,Anfield,54074,54074.0,-2.96083,53.4308294
1237,2020,AMEX Stadium,31800,31800.0,-0.0837163,50.8615651
631,2020,Stamford Bridge,40853,40853.0,-0.1909565,51.481663
984,2020,The Hawthorns,26850,26850.0,-1.963938,52.509038
148,2020,Tottenham Hotspur Stadium,62062,,-0.067045,51.604652
985,2020,Old Trafford,74879,74879.0,-2.2913401,53.4630589
1132,2020,Turf Moor,21994,21994.0,-2.2301736,53.7890244
29,2020,Goodison Park,39571,39571.0,-2.9663193,53.438787
543,2020,Molineux Stadium,32050,32050.0,-2.1304288,52.5902362
11,2020,Emirates Stadium,60704,60704.0,-0.108438,51.5548885
931,2020,Craven Cottage,22384,22384.0,-0.2217799,51.4748946
1003,2020,King Power Stadium,32273,32273.0,-1.14219,52.62037
350,2020,Bramall Lane,32702,,-1.47083,53.37035
180,2020,St Mary's Stadium,32384,32384.0,-1.390954,50.9058218
31,2020,Anfield,54074,54074.0,-2.96083,53.4308294
399,2020,Elland Road,37890,37890.0,-1.5721446,53.7778162
873,2020,Selhurst Park,26047,26047.0,-0.08543,51.3983
3299,2020,Wembley Stadium,90000,90000.0,-0.2795188,51.5560208
379,2020,London Stadium,62500,2011.0,-0.0166037,51.5387095
281,2020,Etihad Stadium,55017,55017.0,-2.2003953,53.4831381
405,2020,Villa Park,42682,,-1.8847828,52.5091117
720,2020,Estádio do Dragão,50399,50399.0,-8.58362,41.16181
1110,2016,John Smith's Stadium,24500,24500.0,-1.7682517,53.6542822
603,2017,Cardiff City Stadium,33280,33280.0,-3.2030122,51.4728226
2288,2018,Swansea.com Stadium,21088,21088.0,-3.9345855,51.6427499
148,2018,Tottenham Hotspur Stadium,62062,,-0.067045,51.604652
2288,2020,Swansea.com Stadium,21088,21088.0,-3.9345855,51.6427499
13,2018,Civitas Metropolitano,68456,2017.0,-3.59948,40.434623
931,2016,Craven Cottage,22384,22384.0,-0.2217799,51.4748946
991,2018,Stadium mk,30500,,-0.7335,52.00964
641,2019,Riverside Stadium,33746,-1.0,-1.21686,54.57824
512,2020,bet365 Stadium,30089,30089.0,-2.17541,52.98842
641,2015,Riverside Stadium,33746,-1.0,-1.21686,54.57824
1123,2016,Carrow Road,27244,27244.0,1.3091533,52.6221139
931,2017,Craven Cottage,22384,22384.0,-0.2217799,51.4748946
