name,url_stub
Chelsea FC,fc-chelsea
Manchester City,manchester-city
Arsenal FC,fc-arsenal
Manchester United,manchester-united
Liverpool FC,fc-liverpool
Tottenham Hotspur,tottenham-hotspur
Everton FC,fc-everton
Southampton FC,fc-southampton
West Ham United,west-ham-united
Newcastle United,newcastle-united
Leicester City,leicester-city
Stoke City,stoke-city
Swansea City,swansea-city
Watford FC,fc-watford
Crystal Palace,crystal-palace
Aston Villa,aston-villa
Norwich City,norwich-city
West Bromwich Albion,west-bromwich-albion
Sunderland AFC,afc-sunderland
AFC Bournemouth,afc-bournemouth
Hull City,hull-city
Middlesbrough FC,fc-middlesbrough
Burnley FC,fc-burnley
Brighton & Hove Albion,brighton-amp-hove-albion
Huddersfield Town,huddersfield-town
Wolverhampton Wanderers,wolverhampton-wanderers
Fulham FC,fc-fulham
Cardiff City,cardiff-city
Sheffield United,sheffield-united
Leeds United,leeds-united
