date_time,team_1,team_2,attendance,home_flag,stadium_name,capacity,x,y
2015-08-02 15:00:00,fc-chelsea,fc-arsenal,85437.0,A,Wembley Stadium,90000,-0.2795188,51.5560208
2015-08-02 15:00:00,fc-chelsea,fc-arsenal,85437.0,A,Wembley Stadium,90000,-0.2795188,51.5560208
2015-08-08 17:30:00,fc-chelsea,swansea-city,41232.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-08-08 17:30:00,fc-chelsea,swansea-city,41232.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-08-16 16:00:00,fc-chelsea,manchester-city,54331.0,A,Etihad Stadium,55017,-2.2003953,53.4831381
2015-08-16 16:00:00,fc-chelsea,manchester-city,54331.0,A,Etihad Stadium,55017,-2.2003953,53.4831381
2015-08-23 13:30:00,fc-chelsea,west-bromwich-albion,23256.0,A,The Hawthorns,26850,-1.963938,52.509038
2015-08-23 13:30:00,fc-chelsea,west-bromwich-albion,23256.0,A,The Hawthorns,26850,-1.963938,52.509038
2015-08-29 15:00:00,fc-chelsea,crystal-palace,41581.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-08-29 15:00:00,fc-chelsea,crystal-palace,41581.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-09-12 12:45:00,fc-chelsea,fc-everton,38311.0,A,Goodison Park,39571,-2.9663193,53.438787
2015-09-12 12:45:00,fc-chelsea,fc-everton,38311.0,A,Goodison Park,39571,-2.9663193,53.438787
2015-09-19 12:45:00,fc-chelsea,fc-arsenal,41584.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-09-19 12:45:00,fc-chelsea,fc-arsenal,41584.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-09-26 17:30:00,fc-chelsea,newcastle-united,48682.0,A,St James' Park,52338,-1.621656,54.975556
2015-09-26 17:30:00,fc-chelsea,newcastle-united,48682.0,A,St James' Park,52338,-1.621656,54.975556
2015-10-03 17:30:00,fc-chelsea,fc-southampton,41642.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-10-03 17:30:00,fc-chelsea,fc-southampton,41642.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-10-17 15:00:00,fc-chelsea,aston-villa,41596.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-10-17 15:00:00,fc-chelsea,aston-villa,41596.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-10-24 15:00:00,fc-chelsea,west-ham-united,34977.0,A,Boleyn Ground,62500,-0.0166037,51.5387095
2015-10-24 15:00:00,fc-chelsea,west-ham-united,34977.0,A,Boleyn Ground,62500,-0.0166037,51.5387095
2015-10-27 19:45:00,fc-chelsea,stoke-city,24886.0,A,bet365 Stadium,30089,-2.17541,52.98842
2015-10-27 19:45:00,fc-chelsea,stoke-city,24886.0,A,bet365 Stadium,30089,-2.17541,52.98842
2015-10-31 12:45:00,fc-chelsea,fc-liverpool,41577.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-10-31 12:45:00,fc-chelsea,fc-liverpool,41577.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-11-07 17:30:00,fc-chelsea,stoke-city,27550.0,A,bet365 Stadium,30089,-2.17541,52.98842
2015-11-07 17:30:00,fc-chelsea,stoke-city,27550.0,A,bet365 Stadium,30089,-2.17541,52.98842
2015-11-21 15:00:00,fc-chelsea,norwich-city,41582.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-11-21 15:00:00,fc-chelsea,norwich-city,41582.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-11-29 12:00:00,fc-chelsea,tottenham-hotspur,35639.0,A,White Hart Lane,62062,-0.067045,51.604652
2015-11-29 12:00:00,fc-chelsea,tottenham-hotspur,35639.0,A,White Hart Lane,62062,-0.067045,51.604652
2015-12-05 17:30:00,fc-chelsea,afc-bournemouth,41631.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-12-05 17:30:00,fc-chelsea,afc-bournemouth,41631.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-12-14 20:00:00,fc-chelsea,leicester-city,32054.0,A,King Power Stadium,32273,-1.14219,52.62037
2015-12-14 20:00:00,fc-chelsea,leicester-city,32054.0,A,King Power Stadium,32273,-1.14219,52.62037
2015-12-19 15:00:00,fc-chelsea,afc-sunderland,41562.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-12-19 15:00:00,fc-chelsea,afc-sunderland,41562.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-12-26 15:00:00,fc-chelsea,fc-watford,41620.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-12-26 15:00:00,fc-chelsea,fc-watford,41620.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2015-12-28 17:30:00,fc-chelsea,manchester-united,75275.0,A,Old Trafford,74879,-2.2913401,53.4630589
2015-12-28 17:30:00,fc-chelsea,manchester-united,75275.0,A,Old Trafford,74879,-2.2913401,53.4630589
2016-01-03 13:30:00,fc-chelsea,crystal-palace,24854.0,A,Selhurst Park,26047,-0.08543,51.3983
2016-01-03 13:30:00,fc-chelsea,crystal-palace,24854.0,A,Selhurst Park,26047,-0.08543,51.3983
2016-01-13 19:45:00,fc-chelsea,west-bromwich-albion,40945.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-01-13 19:45:00,fc-chelsea,west-bromwich-albion,40945.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-01-16 15:00:00,fc-chelsea,fc-everton,41633.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-01-16 15:00:00,fc-chelsea,fc-everton,41633.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-01-24 16:00:00,fc-chelsea,fc-arsenal,60072.0,A,Emirates Stadium,60704,-0.108438,51.5548885
2016-01-24 16:00:00,fc-chelsea,fc-arsenal,60072.0,A,Emirates Stadium,60704,-0.108438,51.5548885
2016-02-03 19:45:00,fc-chelsea,fc-watford,20910.0,A,Vicarage Road,21577,-0.4016876,51.6499828
2016-02-03 19:45:00,fc-chelsea,fc-watford,20910.0,A,Vicarage Road,21577,-0.4016876,51.6499828
2016-02-07 16:00:00,fc-chelsea,manchester-united,41434.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-02-07 16:00:00,fc-chelsea,manchester-united,41434.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-02-13 17:30:00,fc-chelsea,newcastle-united,41622.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-02-13 17:30:00,fc-chelsea,newcastle-united,41622.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-02-21 16:00:00,fc-chelsea,manchester-city,41594.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-02-21 16:00:00,fc-chelsea,manchester-city,41594.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-02-27 15:00:00,fc-chelsea,fc-southampton,31688.0,A,St Mary's Stadium,32384,-1.390954,50.9058218
2016-02-27 15:00:00,fc-chelsea,fc-southampton,31688.0,A,St Mary's Stadium,32384,-1.390954,50.9058218
2016-03-01 19:45:00,fc-chelsea,norwich-city,27091.0,A,Carrow Road,27244,1.3091533,52.6221139
2016-03-01 19:45:00,fc-chelsea,norwich-city,27091.0,A,Carrow Road,27244,1.3091533,52.6221139
2016-03-05 15:00:00,fc-chelsea,stoke-city,41381.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-03-05 15:00:00,fc-chelsea,stoke-city,41381.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-03-12 17:30:00,fc-chelsea,fc-everton,37283.0,A,Goodison Park,39571,-2.9663193,53.438787
2016-03-12 17:30:00,fc-chelsea,fc-everton,37283.0,A,Goodison Park,39571,-2.9663193,53.438787
2016-03-19 15:00:00,fc-chelsea,west-ham-united,41623.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-03-19 15:00:00,fc-chelsea,west-ham-united,41623.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-04-02 12:45:00,fc-chelsea,aston-villa,31120.0,A,Villa Park,42682,-1.8847828,52.5091117
2016-04-02 12:45:00,fc-chelsea,aston-villa,31120.0,A,Villa Park,42682,-1.8847828,52.5091117
2016-04-09 15:00:00,fc-chelsea,swansea-city,20966.0,A,Swansea.com Stadium,21088,-3.9345855,51.6427499
2016-04-09 15:00:00,fc-chelsea,swansea-city,20966.0,A,Swansea.com Stadium,21088,-3.9345855,51.6427499
2016-04-16 17:30:00,fc-chelsea,manchester-city,41212.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-04-16 17:30:00,fc-chelsea,manchester-city,41212.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-04-23 15:00:00,fc-chelsea,afc-bournemouth,11365.0,A,Vitality Stadium,11329,-1.8382791,50.7352306
2016-04-23 15:00:00,fc-chelsea,afc-bournemouth,11365.0,A,Vitality Stadium,11329,-1.8382791,50.7352306
2016-05-02 20:00:00,fc-chelsea,tottenham-hotspur,41545.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-05-02 20:00:00,fc-chelsea,tottenham-hotspur,41545.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-05-07 15:00:00,fc-chelsea,afc-sunderland,47050.0,A,Stadium of Light,48707,-1.388371,54.914561
2016-05-07 15:00:00,fc-chelsea,afc-sunderland,47050.0,A,Stadium of Light,48707,-1.388371,54.914561
2016-05-11 20:00:00,fc-chelsea,fc-liverpool,43210.0,A,Anfield,54074,-2.96083,53.4308294
2016-05-11 20:00:00,fc-chelsea,fc-liverpool,43210.0,A,Anfield,54074,-2.96083,53.4308294
2016-05-15 15:00:00,fc-chelsea,leicester-city,41494.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-05-15 15:00:00,fc-chelsea,leicester-city,41494.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-08-15 20:00:00,fc-chelsea,west-ham-united,41521.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-08-15 20:00:00,fc-chelsea,west-ham-united,41521.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-08-20 15:00:00,fc-chelsea,fc-watford,20772.0,A,Vicarage Road,21577,-0.4016876,51.6499828
2016-08-20 15:00:00,fc-chelsea,fc-watford,20772.0,A,Vicarage Road,21577,-0.4016876,51.6499828
2016-08-27 15:00:00,fc-chelsea,fc-burnley,41607.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-08-27 15:00:00,fc-chelsea,fc-burnley,41607.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-09-11 16:00:00,fc-chelsea,swansea-city,20865.0,A,Swansea.com Stadium,21088,-3.9345855,51.6427499
2016-09-11 16:00:00,fc-chelsea,swansea-city,20865.0,A,Swansea.com Stadium,21088,-3.9345855,51.6427499
2016-09-16 20:00:00,fc-chelsea,fc-liverpool,41514.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-09-16 20:00:00,fc-chelsea,fc-liverpool,41514.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-09-20 19:45:00,fc-chelsea,leicester-city,29899.0,A,King Power Stadium,32273,-1.14219,52.62037
2016-09-20 19:45:00,fc-chelsea,leicester-city,29899.0,A,King Power Stadium,32273,-1.14219,52.62037
2016-09-24 17:30:00,fc-chelsea,fc-arsenal,60028.0,A,Emirates Stadium,60704,-0.108438,51.5548885
2016-09-24 17:30:00,fc-chelsea,fc-arsenal,60028.0,A,Emirates Stadium,60704,-0.108438,51.5548885
2016-10-01 15:00:00,fc-chelsea,hull-city,21257.0,A,MKM Stadium,25586,-0.367694,53.746291
2016-10-01 15:00:00,fc-chelsea,hull-city,21257.0,A,MKM Stadium,25586,-0.367694,53.746291
2016-10-15 12:30:00,fc-chelsea,leicester-city,41547.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-10-15 12:30:00,fc-chelsea,leicester-city,41547.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-10-23 16:00:00,fc-chelsea,manchester-united,41424.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-10-23 16:00:00,fc-chelsea,manchester-united,41424.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-10-26 19:45:00,fc-chelsea,west-ham-united,45957.0,A,London Stadium,62500,-0.0166037,51.5387095
2016-10-26 19:45:00,fc-chelsea,west-ham-united,45957.0,A,London Stadium,62500,-0.0166037,51.5387095
2016-10-30 16:00:00,fc-chelsea,fc-southampton,31827.0,A,St Mary's Stadium,32384,-1.390954,50.9058218
2016-10-30 16:00:00,fc-chelsea,fc-southampton,31827.0,A,St Mary's Stadium,32384,-1.390954,50.9058218
2016-11-05 17:30:00,fc-chelsea,fc-everton,41429.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-11-05 17:30:00,fc-chelsea,fc-everton,41429.0,H,Stamford Bridge,40853,-0.1909565,51.481663
2016-11-20 16:00:00,fc-chelsea,fc-middlesbrough,32704.0,A,Riverside Stadium,33746,-1.21686,54.57824
2016-11-20 16:00:00,fc-chelsea,fc-middlesbrough,32704.0,A,Riverside Stadium,33746,-1.21686,54.57824
2016-11-26 17:30:00,fc-chelsea,tottenham-hotspur,41513.0,H,Stamford Bridge,40853,-0.1909565,51.481663
